## DQN_train_2048_v2.py 运行时间

Begin time: 2026/2/28 01:23

End time: 2026/2/28 19:37

/Users/hfyan/MyPythonApp/.venv/bin/python /Users/hfyan/git/2025spring-cs201/code/2048/DQN_train_2048_v2.py 
正在使用设备: mps
Ep: 0, Max: 128, Reward: 127.0, Eps: 0.900
Ep: 100, Max: 128, Reward: 170.0, Eps: 0.856
Ep: 200, Max: 128, Reward: 214.0, Eps: 0.814
Ep: 300, Max: 128, Reward: 183.0, Eps: 0.774
Ep: 400, Max: 128, Reward: 150.0, Eps: 0.736
Ep: 500, Max: 128, Reward: 260.0, Eps: 0.701
Ep: 600, Max: 64, Reward: 192.0, Eps: 0.666
Ep: 700, Max: 128, Reward: 324.0, Eps: 0.634
Ep: 800, Max: 128, Reward: 247.0, Eps: 0.603
Ep: 900, Max: 128, Reward: 231.0, Eps: 0.574
Ep: 1000, Max: 256, Reward: 450.0, Eps: 0.546
Ep: 1100, Max: 64, Reward: 267.0, Eps: 0.519
Ep: 1200, Max: 64, Reward: 77.0, Eps: 0.494
Ep: 1300, Max: 64, Reward: 179.0, Eps: 0.470
Ep: 1400, Max: 64, Reward: 70.0, Eps: 0.447
Ep: 1500, Max: 128, Reward: 184.0, Eps: 0.425
Ep: 1600, Max: 128, Reward: -87.0, Eps: 0.404
Ep: 1700, Max: 128, Reward: 206.0, Eps: 0.384
Ep: 1800, Max: 64, Reward: 211.0, Eps: 0.366
Ep: 1900, Max: 128, Reward: -123.0, Eps: 0.348
Ep: 2000, Max: 128, Reward: 311.0, Eps: 0.331
Ep: 2100, Max: 64, Reward: 84.0, Eps: 0.315
Ep: 2200, Max: 64, Reward: 265.0, Eps: 0.299
Ep: 2300, Max: 128, Reward: -70.0, Eps: 0.285
Ep: 2400, Max: 128, Reward: 307.0, Eps: 0.271
Ep: 2500, Max: 256, Reward: 468.0, Eps: 0.258
Ep: 2600, Max: 256, Reward: 289.0, Eps: 0.245
Ep: 2700, Max: 64, Reward: 193.0, Eps: 0.233
Ep: 2800, Max: 64, Reward: 126.0, Eps: 0.222
Ep: 2900, Max: 64, Reward: 156.0, Eps: 0.211
Ep: 3000, Max: 64, Reward: 192.0, Eps: 0.201
Ep: 3100, Max: 128, Reward: 63.0, Eps: 0.191
Ep: 3200, Max: 256, Reward: 624.0, Eps: 0.182
Ep: 3300, Max: 64, Reward: 268.0, Eps: 0.173
Ep: 3400, Max: 64, Reward: 279.0, Eps: 0.164
Ep: 3500, Max: 128, Reward: 392.0, Eps: 0.156
Ep: 3600, Max: 64, Reward: 104.0, Eps: 0.149
Ep: 3700, Max: 64, Reward: -242.0, Eps: 0.141
Ep: 3800, Max: 128, Reward: 464.0, Eps: 0.134
Ep: 3900, Max: 128, Reward: 384.0, Eps: 0.128
Ep: 4000, Max: 256, Reward: 486.0, Eps: 0.122
Ep: 4100, Max: 128, Reward: 450.0, Eps: 0.116
Ep: 4200, Max: 64, Reward: 227.0, Eps: 0.110
Ep: 4300, Max: 128, Reward: 384.0, Eps: 0.105
Ep: 4400, Max: 128, Reward: 76.0, Eps: 0.100
Ep: 4500, Max: 256, Reward: 522.0, Eps: 0.095
Ep: 4600, Max: 128, Reward: 310.0, Eps: 0.090
Ep: 4700, Max: 128, Reward: 89.0, Eps: 0.086
Ep: 4800, Max: 128, Reward: 180.0, Eps: 0.082
Ep: 4900, Max: 32, Reward: -427.0, Eps: 0.078
Ep: 5000, Max: 256, Reward: 642.0, Eps: 0.074
Ep: 5100, Max: 512, Reward: -84.0, Eps: 0.070
Ep: 5200, Max: 128, Reward: 321.0, Eps: 0.067
Ep: 5300, Max: 128, Reward: -393.0, Eps: 0.064
Ep: 5400, Max: 128, Reward: 236.0, Eps: 0.060
Ep: 5500, Max: 128, Reward: 405.0, Eps: 0.057
Ep: 5600, Max: 256, Reward: -1112.0, Eps: 0.055
Ep: 5700, Max: 128, Reward: 453.0, Eps: 0.052
Ep: 5800, Max: 256, Reward: -896.0, Eps: 0.049
Ep: 5900, Max: 256, Reward: 579.0, Eps: 0.047
Ep: 6000, Max: 128, Reward: 439.0, Eps: 0.045
Ep: 6100, Max: 256, Reward: -343.0, Eps: 0.043
Ep: 6200, Max: 256, Reward: -224.0, Eps: 0.040
Ep: 6300, Max: 256, Reward: 710.0, Eps: 0.039
Ep: 6400, Max: 128, Reward: 186.0, Eps: 0.037
Ep: 6500, Max: 128, Reward: 426.0, Eps: 0.035
Ep: 6600, Max: 64, Reward: 231.0, Eps: 0.033
Ep: 6700, Max: 128, Reward: 462.0, Eps: 0.032
Ep: 6800, Max: 128, Reward: 468.0, Eps: 0.030
Ep: 6900, Max: 128, Reward: 351.0, Eps: 0.029
Ep: 7000, Max: 64, Reward: 333.0, Eps: 0.027
Ep: 7100, Max: 128, Reward: -1121.0, Eps: 0.026
Ep: 7200, Max: 256, Reward: 902.0, Eps: 0.025
Ep: 7300, Max: 128, Reward: 504.0, Eps: 0.023
Ep: 7400, Max: 256, Reward: 585.0, Eps: 0.022
Ep: 7500, Max: 256, Reward: 950.0, Eps: 0.021
Ep: 7600, Max: 256, Reward: 743.0, Eps: 0.020
Ep: 7700, Max: 256, Reward: 144.0, Eps: 0.019
Ep: 7800, Max: 64, Reward: 394.0, Eps: 0.018
Ep: 7900, Max: 64, Reward: -865.0, Eps: 0.017
Ep: 8000, Max: 128, Reward: 737.0, Eps: 0.016
Ep: 8100, Max: 256, Reward: -4644.0, Eps: 0.016
Ep: 8200, Max: 128, Reward: -1078.0, Eps: 0.015
Ep: 8300, Max: 256, Reward: -1199.0, Eps: 0.014
Ep: 8400, Max: 64, Reward: 276.0, Eps: 0.013
Ep: 8500, Max: 128, Reward: 504.0, Eps: 0.013
Ep: 8600, Max: 128, Reward: 542.0, Eps: 0.012
Ep: 8700, Max: 128, Reward: 617.0, Eps: 0.012
Ep: 8800, Max: 128, Reward: 473.0, Eps: 0.011
Ep: 8900, Max: 128, Reward: 365.0, Eps: 0.010
Ep: 9000, Max: 128, Reward: 345.0, Eps: 0.010
Ep: 9100, Max: 128, Reward: -479.0, Eps: 0.010
Ep: 9200, Max: 128, Reward: -899.0, Eps: 0.010
Ep: 9300, Max: 256, Reward: -757.0, Eps: 0.010
Ep: 9400, Max: 128, Reward: 304.0, Eps: 0.010
